En,Zh,ImgBaseName,AudioBaseName
YOU'LL NEED THESE. YOU HAVE A LONG JOURNEY AHEAD OF YOU.,前方還有很長的路，你們會需要這些,17723464434770.jpg,17723464434790574.mp3
"IT'S BEEN SO LONG SINCE I'VE HAD HOPE, BUT YOU BROUGHT IT BACK TO LIFE,",我好久都沒懷抱希望了,17723464478590.jpg,17723464478610868.mp3
"BUT YOU BROUGHT IT BACK TO LIFE, MY LITTLE WATERBENDER.",但妳讓它起死回生，我的小截水神通,17723464522780.jpg,1772346452280025.mp3
"AND YOU, MY BRAVE WARRIOR, BE NICE TO YOUR SISTER.",還有你，我勇敢的戰士,17723464559870.jpg,17723464559870630.mp3
"BE NICE TO YOUR SISTER. YEAH, OK, GRAN.",對你妹妹好點,17723464591620.jpg,17723464591630569.mp3
"YEAH, OK, GRAN.",好啦，奶奶,17723464623650.jpg,17723464623660721.mp3
AANG IS THE AVATAR. HE'S THE WORLD'S ONLY CHANCE.,安是神通王,17723464656220.jpg,17723464656240834.mp3
HE'S THE WORLD'S ONLY CHANCE. YOU BOTH FOUND HIM FOR A REASON.,他是這世界唯一的機會 你們倆會找到他是有原因的,17723464712900.jpg,17723464712910998.mp3
NOW YOUR DESTINIES ARE INTERTWINED WITH HIS.,你們的命運已和他的交織在一起,17723464760010.jpg,17723464760020142.mp3
THERE'S NO WAY WE'RE GOING TO CATCH A WARSHIP WITH A CANOE.,我們用獨木舟是不可能追上戰艦的,17723464805460.jpg,17723464805480871.mp3
"APPA! YOU JUST LOVE TAKING ME OUT OF MY COMFORT ZONE,",阿霸！,17723464828930.jpg,17723464828950828.mp3
"YOU JUST LOVE TAKING ME OUT OF MY COMFORT ZONE, DON'T YOU?",妳就愛把我帶出舒適圈對吧？,17723464871730.jpg,17723464871740731.mp3
THIS STAFF WILL MAKE AN EXCELLENT GIFT FOR MY FATHER.,這跟棍棒很適合給我父親當禮物,17723464911740.jpg,17723464911750202.mp3
"I SUPPOSE YOU WOULDN'T KNOW OF FATHERS, BEING RAISED BY MONKS. TAKE THE AVATAR TO THE PRISON HOLD",你是被和尚養大的 我想你應該不會對父親有什麼了解,17723464965120.jpg,17723464965130287.mp3
TAKE THE AVATAR TO THE PRISON HOLD AND TAKE THIS TO MY QUARTERS.,帶神通王去牢房，把這個拿去我房間,17723465012660.jpg,17723465012670731.mp3
"HEY, YOU MIND TAKING THIS TO HIS QUARTERS FOR ME?",嘿，你可以幫我把這拿去他房間吧,17723465059370.jpg,17723465059380891.mp3
"SO, I GUESS YOU'VE NEVER FOUGHT AN AIRBENDER BEFORE. I BET I CAN TAKE YOU BOTH",我猜你們從未跟截氣神通打過吧,17723465106460.jpg,1772346510648068.mp3
I BET I CAN TAKE YOU BOTH WITH MY HANDS TIED BEHIND MY BACK.,我敢說我雙手綁在背後 也能一次解決你們兩個,17723465147730.jpg,17723465147740745.mp3
Man: SILENCE.,安靜！,17723465171380.jpg,1772346517139067.mp3
Man: THE AVATAR HAS ESCAPED!,神通王逃走了！,17723465198550.jpg,17723465198560400.mp3
Sokka: GO.,衝啊,17723465221980.jpg,1772346522198039.mp3
FLY. SOAR.,飛啊、翱翔啊,17723465261070.jpg,1772346526109048.mp3
"PLEASE, APPA, WE NEED YOUR HELP. AANG NEEDS YOUR HELP. UP.",拜託阿霸，我們需要你的幫助 安需要你的幫助,17723465309440.jpg,17723465309450637.mp3
UP. ASCEND.,上去,17723465332910.jpg,17723465332920122.mp3
"ASCEND. ELEVATE. SOKKA DOESN'T BELIEVE YOU CAN FLY,",上升、抬升,17723465371180.jpg,17723465371190804.mp3
"SOKKA DOESN'T BELIEVE YOU CAN FLY, BUT I DO, APPA.",蘇卡不信你會飛,17723465402890.jpg,17723465402910399.mp3
"BUT I DO, APPA. COME ON, DON'T YOU WANT TO SAVE AANG?",但我相信，阿霸,17723465433350.jpg,17723465433350368.mp3
"COME ON, DON'T YOU WANT TO SAVE AANG?",快點，你不想救安嗎？,17723465466710.jpg,17723465466730562.mp3
WHAT WAS IT THAT KID SAID? YEE-HA?,那小子都怎麼說？,17723465496340.jpg,17723465496360870.mp3
"YEE-HA? HUP-HUP? WA-HOO? UH, YIP YIP?",咿哈、哈哈、哇呼,17723465539700.jpg,1772346553971069.mp3
"UH, YIP YIP? [APPA GROWLS]",飛飛,17723465564330.jpg,17723465564340624.mp3
"Katara: YOU DID IT, SOKKA!",你成功了！蘇卡,17723465595160.jpg,1772346559517089.mp3
"HE'S FLYING! HE'S FLYING! KATARA, HE'S--",他在飛耶！卡塔拉，他在…,17723465643090.jpg,17723465643100121.mp3
